系别	英雄	成员	战力	组别	
生化	蚁人	terror tutch	3601	一组	
生化	美国队长	terror tutch	3098	一组	
生化	二战美队	terror tutch	5781	一组	
生化	电王	terror tutch	5962	一组	
生化	浩克	terror tutch	4112	一组	
生化	灰浩克	terror tutch	3220	一组	
生化	卢克凯奇	terror tutch	4032	一组	
生化	余波	terror tutch	9048	一组	
生化	红浩克	terror tutch	3391	一组	
生化	犀牛	terror tutch	2919	一组	
生化	女浩克	terror tutch	3154	一组	
生化	女蜘蛛	terror tutch	3156	一组	
生化	黑蜘蛛	terror tutch	3201	一组	
生化	黄蜂	terror tutch	3143	一组	
生化	蜘蛛侠	terror tutch	5952	一组	
神秘	多满魔	terror tutch	5631	一组	
神秘	博士	terror tutch	4232	一组	
神秘	巫医	terror tutch	6605	一组	
神秘	恶灵	terror tutch	4900	一组	
神秘	断头台	terror tutch	4122	一组	
神秘	hood	terror tutch	3499	一组	
神秘	铁拳	terror tutch	3540	一组	
神秘	白铁拳	terror tutch		一组	
神秘	红坦克	terror tutch	7881	一组	
神秘	洛基	terror tutch	5014	一组	
神秘	魔术女	terror tutch	4394	一组	
神秘	莫度	terror tutch	6848	一组	
神秘	女巫	terror tutch	5646	一组	
神秘	女雷神	terror tutch	3360	一组	
神秘	无敌钢人	terror tutch	3055	一组	
变异	天使	terror tutch		一组	
变异	蓝兽	terror tutch	3236	一组	
变异	电索	terror tutch	6255	一组	
变异	钢人	terror tutch	3080	一组	
变异	独眼龙	terror tutch	4113	一组	
变异	独眼龙90s	terror tutch	3182	一组	
变异	死侍	terror tutch		一组	
变异	x死侍	terror tutch	3284	一组	
变异	牌王	terror tutch	3253	一组	
变异	冰人	terror tutch		一组	
变异	万磁王	terror tutch	3207	一组	
变异	白色万磁王	terror tutch	3252	一组	
变异	夜行	terror tutch	6197	一组	
变异	灵蝶	terror tutch		一组	
变异	小淘气	terror tutch	6213	一组	
变异	暴风	terror tutch	4260	一组	
变异	金刚狼	terror tutch	5110	一组	
变异	老年金刚狼	terror tutch	3078	一组	
变异	x23	terror tutch	5632	一组	
科技	章鱼博士	terror tutch	3163	一组	
科技	绿魔	terror tutch	3169	一组	
科技	毒奥创	terror tutch	3266	一组	
宇宙	安吉拉	小熊		一组	
宇宙	黑蝠王	小熊	3212	一组	
宇宙	惊奇队长	小熊		一组	
宇宙	杀戮	小熊		一组	
宇宙	德拉克斯	小熊	2876	一组	
宇宙	卡莫拉	小熊	4430	一组	
宇宙	格鲁特	小熊	3423	一组	
宇宙	超人	小熊		一组	
宇宙	黑妹	小熊	3245	一组	
宇宙	king格鲁特	小熊		一组	
宇宙	惊奇小姐	小熊		一组	
宇宙	凤凰	小熊	3675	一组	
宇宙	罗南	小熊	3420	一组	
宇宙	共生体	小熊	4247	一组	
宇宙	究极钢铁侠	小熊	3319	一组	
宇宙	灭霸	小熊		一组	
宇宙	雷神	小熊	3126	一组	
宇宙	毒液	小熊	3140	一组	
宇宙	毒液死侍	小熊	3298	一组	
科技	内战勇士	小熊		一组	
科技	霍华德	小熊		一组	
科技	浩克毁灭者	小熊	3044	一组	
科技	钢铁侠	小熊	2900	一组	
科技	钢铁爱国者	小熊	3435	一组	
科技	康	小熊		一组	
科技	星云	小熊		一组	
科技	punisher2099	小熊		一组	
科技	浣熊	小熊	3453	一组	
科技	科技蜘蛛	小熊		一组	
科技	星爵	小熊	5542	一组	
科技	影幻	小熊		一组	
科技	奥创	小熊	5654	一组	
科技	漫幻	小熊		一组	
科技	秃鹰	小熊		一组	
科技	战争机器	小熊	3421	一组	
科技	勇度	小熊		一组	
格斗	毒液特工	小熊	4767	一组	
格斗	黑豹	小熊	3732	一组	
格斗	内战黑豹	小熊	3364	一组	
格斗	黑寡妇	小熊	3256	一组	
格斗	交叉骨	小熊	4786	一组	
格斗	夜魔侠	小熊		一组	
格斗	非经典夜魔侠	小熊	3204	一组	
格斗	艾丽卡	小熊		一组	
格斗	猎鹰	小熊	3487	一组	
格斗	格纹死侍	小熊	6527	一组	
格斗	鹰眼	小熊	3064	一组	
格斗	卡尔耐克	小熊		一组	
格斗	月光骑士	小熊		一组	
格斗	惩罚者	小熊		一组	
格斗	冬兵	小熊	3378	一组	
生化	恶煞	小熊	3154	一组	
生化	蚁人	小熊		一组	
生化	美国队长	小熊	3082	一组	
生化	二战美队	小熊	5578	一组	
生化	电王	小熊	4611	一组	
生化	浩克	小熊	2498	一组	
生化	灰浩克	小熊	3245	一组	
生化	卢克凯奇	小熊	3201	一组	
生化	余波	小熊		一组	
生化	红浩克	小熊		一组	
生化	犀牛	小熊		一组	
生化	女浩克	小熊	3298	一组	
生化	女蜘蛛	小熊	3287	一组	
生化	黑蜘蛛	小熊	4365	一组	
生化	黄蜂	小熊		一组	
生化	蜘蛛侠	小熊	4653	一组	
神秘	多满魔	小熊		一组	
神秘	博士	小熊	3653	一组	
神秘	巫医	小熊		一组	
神秘	恶灵	小熊	3234	一组	
神秘	断头台	小熊	3109	一组	
神秘	hood	小熊		一组	
神秘	铁拳	小熊	3189	一组	
神秘	白铁拳	小熊		一组	
神秘	红坦克	小熊	3120	一组	
神秘	洛基	小熊	3667	一组	
神秘	魔术女	小熊	7532	一组	
神秘	莫度	小熊	3842	一组	
神秘	女巫	小熊	3543	一组	
神秘	女雷神	小熊	3432	一组	
神秘	无敌钢人	小熊	4039	一组	
变异	天使	小熊		一组	
变异	蓝兽	小熊		一组	
变异	电索	小熊		一组	
变异	钢人	小熊		一组	
变异	独眼龙	小熊	3543	一组	
变异	独眼龙90s	小熊		一组	
变异	死侍	小熊		一组	
变异	x死侍	小熊	3488	一组	
变异	牌王	小熊	3355	一组	
变异	冰人	小熊		一组	
变异	万磁王	小熊		一组	
变异	白色万磁王	小熊		一组	
变异	夜行	小熊		一组	
变异	灵蝶	小熊		一组	
变异	小淘气	小熊	6343	一组	
变异	暴风	小熊		一组	
变异	金刚狼	小熊		一组	
变异	老年金刚狼	小熊		一组	
变异	x23	小熊	4289	一组	
科技	章鱼博士	小熊		一组	
科技	绿魔	小熊		一组	
科技	毒奥创	小熊		一组	
宇宙	安吉拉	Lonely555	3040	一组	
宇宙	黑蝠王	Lonely555	4018	一组	
宇宙	惊奇队长	Lonely555	7922	一组	
宇宙	杀戮	Lonely555		一组	
宇宙	德拉克斯	Lonely555	3804	一组	
宇宙	卡莫拉	Lonely555	3140	一组	
宇宙	格鲁特	Lonely555		一组	
宇宙	超人	Lonely555		一组	
宇宙	黑妹	Lonely555	3255	一组	
宇宙	king格鲁特	Lonely555		一组	
宇宙	惊奇小姐	Lonely555	4127	一组	
宇宙	凤凰	Lonely555	4308	一组	
宇宙	罗南	Lonely555	3720	一组	
宇宙	共生体	Lonely555	4092	一组	
宇宙	究极钢铁侠	Lonely555	4230	一组	
宇宙	灭霸	Lonely555		一组	
宇宙	雷神	Lonely555	5894	一组	
宇宙	毒液	Lonely555	4008	一组	
宇宙	毒液死侍	Lonely555	2973	一组	
科技	内战勇士	Lonely555	2894	一组	
科技	霍华德	Lonely555	4463	一组	
科技	浩克毁灭者	Lonely555	3259	一组	
科技	钢铁侠	Lonely555	4006	一组	
科技	钢铁爱国者	Lonely555	4143	一组	
科技	康	Lonely555		一组	
科技	星云	Lonely555		一组	
科技	punisher2099	Lonely555		一组	
科技	浣熊	Lonely555	4471	一组	
科技	科技蜘蛛	Lonely555		一组	
科技	星爵	Lonely555	5210	一组	
科技	影幻	Lonely555	5347	一组	
科技	奥创	Lonely555	5607	一组	
科技	漫幻	Lonely555		一组	
科技	秃鹰	Lonely555		一组	
科技	战争机器	Lonely555	3100	一组	
科技	勇度	Lonely555		一组	
格斗	毒液特工	Lonely555		一组	
格斗	黑豹	Lonely555	5657	一组	
格斗	内战黑豹	Lonely555		一组	
格斗	黑寡妇	Lonely555	5733	一组	
格斗	交叉骨	Lonely555	5800	一组	
格斗	夜魔侠	Lonely555	4121	一组	
格斗	非经典夜魔侠	Lonely555		一组	
格斗	艾丽卡	Lonely555	3814	一组	
格斗	猎鹰	Lonely555	2983	一组	
格斗	格纹死侍	Lonely555	4124	一组	
格斗	鹰眼	Lonely555	5615	一组	
格斗	卡尔耐克	Lonely555		一组	
格斗	月光骑士	Lonely555	2838	一组	
格斗	惩罚者	Lonely555	3083	一组	
格斗	冬兵	Lonely555	3772	一组	
生化	恶煞	Lonely555	4114	一组	
生化	蚁人	Lonely555	3868	一组	
生化	美国队长	Lonely555	3994	一组	
生化	二战美队	Lonely555	5743	一组	
生化	电王	Lonely555	6029	一组	
生化	浩克	Lonely555	5507	一组	
生化	灰浩克	Lonely555	3082	一组	
生化	卢克凯奇	Lonely555	2990	一组	
生化	余波	Lonely555	4135	一组	
生化	红浩克	Lonely555		一组	
生化	犀牛	Lonely555	3579	一组	
生化	女浩克	Lonely555	2784	一组	
生化	女蜘蛛	Lonely555	3059	一组	
生化	黑蜘蛛	Lonely555	3124	一组	
生化	黄蜂	Lonely555	2845	一组	
生化	蜘蛛侠	Lonely555	5458	一组	
神秘	多满魔	Lonely555	5679	一组	
神秘	博士	Lonely555	5467	一组	
神秘	巫医	Lonely555	4254	一组	
神秘	恶灵	Lonely555	3604	一组	
神秘	断头台	Lonely555	3313	一组	
神秘	hood	Lonely555		一组	
神秘	铁拳	Lonely555	3389	一组	
神秘	白铁拳	Lonely555	3165	一组	
神秘	红坦克	Lonely555	3025	一组	
神秘	洛基	Lonely555	4824	一组	
神秘	魔术女	Lonely555	7469	一组	
神秘	莫度	Lonely555	5937	一组	
神秘	女巫	Lonely555	3104	一组	
神秘	女雷神	Lonely555	3288	一组	
神秘	无敌钢人	Lonely555	3807	一组	
变异	天使	Lonely555		一组	
变异	蓝兽	Lonely555	2790	一组	
变异	电索	Lonely555	3946	一组	
变异	钢人	Lonely555	3986	一组	
变异	独眼龙	Lonely555	2800	一组	
变异	独眼龙90s	Lonely555	3159	一组	
变异	死侍	Lonely555		一组	
变异	x死侍	Lonely555	4424	一组	
变异	牌王	Lonely555	3468	一组	
变异	冰人	Lonely555	6040	一组	
变异	万磁王	Lonely555	3935	一组	
变异	白色万磁王	Lonely555	3181	一组	
变异	夜行	Lonely555	5787	一组	
变异	灵蝶	Lonely555		一组	
变异	小淘气	Lonely555		一组	
变异	暴风	Lonely555	2837	一组	
变异	金刚狼	Lonely555	5116	一组	
变异	老年金刚狼	Lonely555	2797	一组	
变异	x23	Lonely555	4091	一组	
科技	章鱼博士	Lonely555		一组	
科技	绿魔	Lonely555		一组	
科技	毒奥创	Lonely555		一组	
宇宙	安吉拉	NEO	1654	三组	
宇宙	黑蝠王	NEO	3244	三组	
宇宙	惊奇队长	NEO	2857	三组	
宇宙	杀戮	NEO	3702	三组	
宇宙	德拉克斯	NEO	3173	三组	
宇宙	卡莫拉	NEO	3350	三组	
宇宙	格鲁特	NEO	3222	三组	
宇宙	超人	NEO	4697	三组	
宇宙	黑妹	NEO		三组	
宇宙	king格鲁特	NEO	1457	三组	
宇宙	惊奇小姐	NEO	2867	三组	
宇宙	凤凰	NEO	3418	三组	
宇宙	罗南	NEO		三组	
宇宙	共生体	NEO	3240	三组	
宇宙	究极钢铁侠	NEO	4231	三组	
宇宙	灭霸	NEO		三组	
宇宙	雷神	NEO	6181	三组	
宇宙	毒液	NEO	3153	三组	
宇宙	毒液死侍	NEO	3260	三组	
科技	内战勇士	NEO	3432	三组	
科技	霍华德	NEO	3667	三组	
科技	浩克毁灭者	NEO	3425	三组	
科技	钢铁侠	NEO	3163	三组	
科技	钢铁爱国者	NEO	2994	三组	
科技	康	NEO		三组	
科技	星云	NEO	3016	三组	
科技	punisher2099	NEO		三组	
科技	浣熊	NEO	3500	三组	
科技	科技蜘蛛	NEO		三组	
科技	星爵	NEO	5655	三组	
科技	影幻	NEO		三组	
科技	奥创	NEO	4351	三组	
科技	漫幻	NEO		三组	
科技	秃鹰	NEO		三组	
科技	战争机器	NEO		三组	
科技	勇度	NEO		三组	
格斗	毒液特工	NEO		三组	
格斗	黑豹	NEO	4116	三组	
格斗	内战黑豹	NEO	6076	三组	
格斗	黑寡妇	NEO	3410	三组	
格斗	交叉骨	NEO	3528	三组	
格斗	夜魔侠	NEO	4255	三组	
格斗	非经典夜魔侠	NEO		三组	
格斗	艾丽卡	NEO	6123	三组	
格斗	猎鹰	NEO	3116	三组	
格斗	格纹死侍	NEO	3294	三组	
格斗	鹰眼	NEO	3100	三组	
格斗	卡尔耐克	NEO	3416	三组	
格斗	月光骑士	NEO	3122	三组	
格斗	惩罚者	NEO	3136	三组	
格斗	冬兵	NEO	5892	三组	
生化	恶煞	NEO	3163	三组	
生化	蚁人	NEO	2710	三组	
生化	美国队长	NEO	3095	三组	
生化	二战美队	NEO	3243	三组	
生化	电王	NEO	6249	三组	
生化	浩克	NEO		三组	
生化	灰浩克	NEO	3002	三组	
生化	卢克凯奇	NEO	2802	三组	
生化	余波	NEO	3706	三组	
生化	红浩克	NEO	3497	三组	
生化	犀牛	NEO		三组	
生化	女浩克	NEO	1497	三组	
生化	女蜘蛛	NEO	3187	三组	
生化	黑蜘蛛	NEO	3306	三组	
生化	黄蜂	NEO	3266	三组	
生化	蜘蛛侠	NEO	4425	三组	
神秘	多满魔	NEO	3218	三组	
神秘	博士	NEO	4736	三组	
神秘	巫医	NEO	6740	三组	
神秘	恶灵	NEO	4308	三组	
神秘	断头台	NEO	3579	三组	
神秘	hood	NEO	3513	三组	
神秘	铁拳	NEO		三组	
神秘	白铁拳	NEO		三组	
神秘	红坦克	NEO	3321	三组	
神秘	洛基	NEO	9009	三组	
神秘	魔术女	NEO	5020	三组	
神秘	莫度	NEO	5749	三组	
神秘	女巫	NEO	3438	三组	
神秘	女雷神	NEO		三组	
神秘	无敌钢人	NEO		三组	
变异	天使	NEO	4911	三组	
变异	蓝兽	NEO		三组	
变异	电索	NEO	1811	三组	
变异	钢人	NEO	1613	三组	
变异	独眼龙	NEO	3334	三组	
变异	独眼龙90s	NEO		三组	
变异	死侍	NEO		三组	
变异	x死侍	NEO	3501	三组	
变异	牌王	NEO	3543	三组	
变异	冰人	NEO		三组	
变异	万磁王	NEO	3329	三组	
变异	白色万磁王	NEO	3353	三组	
变异	夜行	NEO	6392	三组	
变异	灵蝶	NEO	3567	三组	
变异	小淘气	NEO	6524	三组	
变异	暴风	NEO	3288	三组	
变异	金刚狼	NEO	3079	三组	
变异	老年金刚狼	NEO	3296	三组	
变异	x23	NEO	3357	三组	
科技	章鱼博士	NEO		三组	
科技	绿魔	NEO	4973	三组	
科技	毒奥创	NEO		三组	
宇宙	安吉拉	雪梨		三组	
宇宙	黑蝠王	雪梨	2875	三组	
宇宙	惊奇队长	雪梨		三组	
宇宙	杀戮	雪梨		三组	
宇宙	德拉克斯	雪梨	2821	三组	
宇宙	卡莫拉	雪梨		三组	
宇宙	格鲁特	雪梨	2858	三组	
宇宙	超人	雪梨	2975	三组	
宇宙	黑妹	雪梨	2945	三组	
宇宙	king格鲁特	雪梨		三组	
宇宙	惊奇小姐	雪梨		三组	
宇宙	凤凰	雪梨	3320	三组	
宇宙	罗南	雪梨		三组	
宇宙	共生体	雪梨		三组	
宇宙	究极钢铁侠	雪梨		三组	
宇宙	灭霸	雪梨		三组	
宇宙	雷神	雪梨	6010	三组	
宇宙	毒液	雪梨	2751	三组	
宇宙	毒液死侍	雪梨	4297	三组	
科技	内战勇士	雪梨	2989	三组	
科技	霍华德	雪梨	3492	三组	
科技	浩克毁灭者	雪梨	3141	三组	
科技	钢铁侠	雪梨	2850	三组	
科技	钢铁爱国者	雪梨	3182	三组	
科技	康	雪梨		三组	
科技	星云	雪梨		三组	
科技	punisher2099	雪梨		三组	
科技	浣熊	雪梨	3003	三组	
科技	科技蜘蛛	雪梨		三组	
科技	星爵	雪梨		三组	
科技	影幻	雪梨	5459	三组	
科技	奥创	雪梨	3711	三组	
科技	漫幻	雪梨		三组	
科技	秃鹰	雪梨		三组	
科技	战争机器	雪梨	2830	三组	
科技	勇度	雪梨		三组	
格斗	毒液特工	雪梨		三组	
格斗	黑豹	雪梨	3003	三组	
格斗	内战黑豹	雪梨		三组	
格斗	黑寡妇	雪梨		三组	
格斗	交叉骨	雪梨	5987	三组	
格斗	夜魔侠	雪梨	2840	三组	
格斗	非经典夜魔侠	雪梨	2845	三组	
格斗	艾丽卡	雪梨	3298	三组	
格斗	猎鹰	雪梨	3372	三组	
格斗	格纹死侍	雪梨	6392	三组	
格斗	鹰眼	雪梨		三组	
格斗	卡尔耐克	雪梨	3236	三组	
格斗	月光骑士	雪梨	3076	三组	
格斗	惩罚者	雪梨	2793	三组	
格斗	冬兵	雪梨		三组	
生化	恶煞	雪梨		三组	
生化	蚁人	雪梨	3020	三组	
生化	美国队长	雪梨	3109	三组	
生化	二战美队	雪梨	5792	三组	
生化	电王	雪梨		三组	
生化	浩克	雪梨	3925	三组	
生化	灰浩克	雪梨		三组	
生化	卢克凯奇	雪梨	2762	三组	
生化	余波	雪梨	1864	三组	
生化	红浩克	雪梨		三组	
生化	犀牛	雪梨		三组	
生化	女浩克	雪梨		三组	
生化	女蜘蛛	雪梨	3176	三组	
生化	黑蜘蛛	雪梨		三组	
生化	黄蜂	雪梨	4031	三组	
生化	蜘蛛侠	雪梨		三组	
神秘	多满魔	雪梨		三组	
神秘	博士	雪梨	4195	三组	
神秘	巫医	雪梨	6517	三组	
神秘	恶灵	雪梨		三组	
神秘	断头台	雪梨		三组	
神秘	hood	雪梨		三组	
神秘	铁拳	雪梨	3336	三组	
神秘	白铁拳	雪梨		三组	
神秘	红坦克	雪梨		三组	
神秘	洛基	雪梨	3388	三组	
神秘	魔术女	雪梨	5593	三组	
神秘	莫度	雪梨	4944	三组	
神秘	女巫	雪梨		三组	
神秘	女雷神	雪梨	2163	三组	
神秘	无敌钢人	雪梨		三组	
变异	天使	雪梨	3143	三组	
变异	蓝兽	雪梨	2878	三组	
变异	电索	雪梨		三组	
变异	钢人	雪梨		三组	
变异	独眼龙	雪梨	1500	三组	
变异	独眼龙90s	雪梨	2987	三组	
变异	死侍	雪梨		三组	
变异	x死侍	雪梨		三组	
变异	牌王	雪梨	3131	三组	
变异	冰人	雪梨		三组	
变异	万磁王	雪梨		三组	
变异	白色万磁王	雪梨	2992	三组	
变异	夜行	雪梨	4097	三组	
变异	灵蝶	雪梨		三组	
变异	小淘气	雪梨	3129	三组	
变异	暴风	雪梨	3215	三组	
变异	金刚狼	雪梨	5195	三组	
变异	老年金刚狼	雪梨	2887	三组	
变异	x23	雪梨	5715	三组	
科技	章鱼博士	雪梨		三组	
科技	绿魔	雪梨		三组	
科技	毒奥创	雪梨		三组	
宇宙	安吉拉	麦窦先生		二组	
宇宙	黑蝠王	麦窦先生		二组	
宇宙	惊奇队长	麦窦先生		二组	
宇宙	杀戮	麦窦先生		二组	
宇宙	德拉克斯	麦窦先生	2767	二组	
宇宙	卡莫拉	麦窦先生	3214	二组	
宇宙	格鲁特	麦窦先生	4117	二组	
宇宙	超人	麦窦先生	4320	二组	
宇宙	黑妹	麦窦先生	3216	二组	
宇宙	king格鲁特	麦窦先生		二组	
宇宙	惊奇小姐	麦窦先生		二组	
宇宙	凤凰	麦窦先生	4849	二组	
宇宙	罗南	麦窦先生		二组	
宇宙	共生体	麦窦先生	2867	二组	
宇宙	究极钢铁侠	麦窦先生	3208	二组	
宇宙	灭霸	麦窦先生		二组	
宇宙	雷神	麦窦先生	2941	二组	
宇宙	毒液	麦窦先生	2668	二组	
宇宙	毒液死侍	麦窦先生	3136	二组	
科技	内战勇士	麦窦先生	1510	二组	
科技	霍华德	麦窦先生		二组	
科技	浩克毁灭者	麦窦先生	1506	二组	
科技	钢铁侠	麦窦先生	3095	二组	
科技	钢铁爱国者	麦窦先生	2980	二组	
科技	康	麦窦先生		二组	
科技	星云	麦窦先生	3634	二组	
科技	punisher2099	麦窦先生		二组	
科技	浣熊	麦窦先生		二组	
科技	科技蜘蛛	麦窦先生		二组	
科技	星爵	麦窦先生	4083	二组	
科技	影幻	麦窦先生		二组	
科技	奥创	麦窦先生	3633	二组	
科技	漫幻	麦窦先生		二组	
科技	秃鹰	麦窦先生		二组	
科技	战争机器	麦窦先生	2758	二组	
科技	勇度	麦窦先生		二组	
格斗	毒液特工	麦窦先生		二组	
格斗	黑豹	麦窦先生	2957	二组	
格斗	内战黑豹	麦窦先生		二组	
格斗	黑寡妇	麦窦先生		二组	
格斗	交叉骨	麦窦先生		二组	
格斗	夜魔侠	麦窦先生	2767	二组	
格斗	非经典夜魔侠	麦窦先生	3067	二组	
格斗	艾丽卡	麦窦先生	4286	二组	
格斗	猎鹰	麦窦先生	1543	二组	
格斗	格纹死侍	麦窦先生	4144	二组	
格斗	鹰眼	麦窦先生	2962	二组	
格斗	卡尔耐克	麦窦先生	3555	二组	
格斗	月光骑士	麦窦先生		二组	
格斗	惩罚者	麦窦先生		二组	
格斗	冬兵	麦窦先生	3797	二组	
生化	恶煞	麦窦先生		二组	
生化	蚁人	麦窦先生		二组	
生化	美国队长	麦窦先生		二组	
生化	二战美队	麦窦先生		二组	
生化	电王	麦窦先生		二组	
生化	浩克	麦窦先生	4025	二组	
生化	灰浩克	麦窦先生	2792	二组	
生化	卢克凯奇	麦窦先生		二组	
生化	余波	麦窦先生	4834	二组	
生化	红浩克	麦窦先生		二组	
生化	犀牛	麦窦先生	3591	二组	
生化	女浩克	麦窦先生		二组	
生化	女蜘蛛	麦窦先生		二组	
生化	黑蜘蛛	麦窦先生	2809	二组	
生化	黄蜂	麦窦先生		二组	
生化	蜘蛛侠	麦窦先生	3681	二组	
神秘	多满魔	麦窦先生	3937	二组	
神秘	博士	麦窦先生		二组	
神秘	巫医	麦窦先生	3237	二组	
神秘	恶灵	麦窦先生		二组	
神秘	断头台	麦窦先生	4221	二组	
神秘	hood	麦窦先生	4723	二组	
神秘	铁拳	麦窦先生		二组	
神秘	白铁拳	麦窦先生		二组	
神秘	红坦克	麦窦先生		二组	
神秘	洛基	麦窦先生	3253	二组	
神秘	魔术女	麦窦先生		二组	
神秘	莫度	麦窦先生	4487	二组	
神秘	女巫	麦窦先生	4192	二组	
神秘	女雷神	麦窦先生	3021	二组	
神秘	无敌钢人	麦窦先生		二组	
变异	天使	麦窦先生	4556	二组	
变异	蓝兽	麦窦先生		二组	
变异	电索	麦窦先生	2176	二组	
变异	钢人	麦窦先生		二组	
变异	独眼龙	麦窦先生		二组	
变异	独眼龙90s	麦窦先生		二组	
变异	死侍	麦窦先生		二组	
变异	x死侍	麦窦先生		二组	
变异	牌王	麦窦先生	3425	二组	
变异	冰人	麦窦先生		二组	
变异	万磁王	麦窦先生	2850	二组	
变异	白色万磁王	麦窦先生		二组	
变异	夜行	麦窦先生	5931	二组	
变异	灵蝶	麦窦先生	3097	二组	
变异	小淘气	麦窦先生	4544	二组	
变异	暴风	麦窦先生	2948	二组	
变异	金刚狼	麦窦先生	3416	二组	
变异	老年金刚狼	麦窦先生	3109	二组	
变异	x23	麦窦先生	3736	二组	
科技	章鱼博士	麦窦先生		二组	
科技	绿魔	麦窦先生		二组	
科技	毒奥创	麦窦先生		二组	
宇宙	安吉拉	gorbatok饮酒者 		三组	
宇宙	黑蝠王	gorbatok饮酒者 		三组	
宇宙	惊奇队长	gorbatok饮酒者 	3894	三组	
宇宙	杀戮	gorbatok饮酒者 		三组	
宇宙	德拉克斯	gorbatok饮酒者 	2908	三组	
宇宙	卡莫拉	gorbatok饮酒者 	4052	三组	
宇宙	格鲁特	gorbatok饮酒者 	3030	三组	
宇宙	超人	gorbatok饮酒者 	8005	三组	
宇宙	黑妹	gorbatok饮酒者 	3100	三组	
宇宙	king格鲁特	gorbatok饮酒者 	2643	三组	
宇宙	惊奇小姐	gorbatok饮酒者 		三组	
宇宙	凤凰	gorbatok饮酒者 	4739	三组	
宇宙	罗南	gorbatok饮酒者 	3535	三组	
宇宙	共生体	gorbatok饮酒者 	2676	三组	
宇宙	究极钢铁侠	gorbatok饮酒者 	2776	三组	
宇宙	灭霸	gorbatok饮酒者 		三组	
宇宙	雷神	gorbatok饮酒者 	5693	三组	
宇宙	毒液	gorbatok饮酒者 	2559	三组	
宇宙	毒液死侍	gorbatok饮酒者 	3747	三组	
科技	内战勇士	gorbatok饮酒者 		三组	
科技	霍华德	gorbatok饮酒者 		三组	
科技	浩克毁灭者	gorbatok饮酒者 		三组	
科技	钢铁侠	gorbatok饮酒者 		三组	
科技	钢铁爱国者	gorbatok饮酒者 		三组	
科技	康	gorbatok饮酒者 		三组	
科技	星云	gorbatok饮酒者 		三组	
科技	punisher2099	gorbatok饮酒者 		三组	
科技	浣熊	gorbatok饮酒者 		三组	
科技	科技蜘蛛	gorbatok饮酒者 		三组	
科技	星爵	gorbatok饮酒者 		三组	
科技	影幻	gorbatok饮酒者 		三组	
科技	奥创	gorbatok饮酒者 		三组	
科技	漫幻	gorbatok饮酒者 		三组	
科技	秃鹰	gorbatok饮酒者 		三组	
科技	战争机器	gorbatok饮酒者 		三组	
科技	勇度	gorbatok饮酒者 		三组	
格斗	毒液特工	gorbatok饮酒者 		三组	
格斗	黑豹	gorbatok饮酒者 	2814	三组	
格斗	内战黑豹	gorbatok饮酒者 		三组	
格斗	黑寡妇	gorbatok饮酒者 	5485	三组	
格斗	交叉骨	gorbatok饮酒者 	3156	三组	
格斗	夜魔侠	gorbatok饮酒者 	2646	三组	
格斗	非经典夜魔侠	gorbatok饮酒者 	2647	三组	
格斗	艾丽卡	gorbatok饮酒者 	2737	三组	
格斗	猎鹰	gorbatok饮酒者 	2828	三组	
格斗	格纹死侍	gorbatok饮酒者 		三组	
格斗	鹰眼	gorbatok饮酒者 	5030	三组	
格斗	卡尔耐克	gorbatok饮酒者 	3002	三组	
格斗	月光骑士	gorbatok饮酒者 		三组	
格斗	惩罚者	gorbatok饮酒者 		三组	
格斗	冬兵	gorbatok饮酒者 	7434	三组	
生化	恶煞	gorbatok饮酒者 	2953	三组	
生化	蚁人	gorbatok饮酒者 	2477	三组	
生化	美国队长	gorbatok饮酒者 	3924	三组	
生化	二战美队	gorbatok饮酒者 	3055	三组	
生化	电王	gorbatok饮酒者 	4169	三组	
生化	浩克	gorbatok饮酒者 	5300	三组	
生化	灰浩克	gorbatok饮酒者 	2751	三组	
生化	卢克凯奇	gorbatok饮酒者 	2955	三组	
生化	余波	gorbatok饮酒者 	1541	三组	
生化	红浩克	gorbatok饮酒者 	3242	三组	
生化	犀牛	gorbatok饮酒者 	2585	三组	
生化	女浩克	gorbatok饮酒者 	2944	三组	
生化	女蜘蛛	gorbatok饮酒者 	3607	三组	
生化	黑蜘蛛	gorbatok饮酒者 	3060	三组	
生化	黄蜂	gorbatok饮酒者 	3740	三组	
生化	蜘蛛侠	gorbatok饮酒者 	5544	三组	
神秘	多满魔	gorbatok饮酒者 		三组	
神秘	博士	gorbatok饮酒者 	3745	三组	
神秘	巫医	gorbatok饮酒者 		三组	
神秘	恶灵	gorbatok饮酒者 		三组	
神秘	断头台	gorbatok饮酒者 	4103	三组	
神秘	hood	gorbatok饮酒者 	5810	三组	
神秘	铁拳	gorbatok饮酒者 	4325	三组	
神秘	白铁拳	gorbatok饮酒者 		三组	
神秘	红坦克	gorbatok饮酒者 	3651	三组	
神秘	洛基	gorbatok饮酒者 	3406	三组	
神秘	魔术女	gorbatok饮酒者 	5146	三组	
神秘	莫度	gorbatok饮酒者 	5050	三组	
神秘	女巫	gorbatok饮酒者 	5165	三组	
神秘	女雷神	gorbatok饮酒者 	3113	三组	
神秘	无敌钢人	gorbatok饮酒者 	2564	三组	
变异	天使	gorbatok饮酒者 		三组	
变异	蓝兽	gorbatok饮酒者 	1381	三组	
变异	电索	gorbatok饮酒者 		三组	
变异	钢人	gorbatok饮酒者 	3805	三组	
